"","months","neighbourhood_cleansed","price"
"511",2020-06-01,"LAVERTON",160
"512",2020-12-01,"LAVERTON",160
"513",2021-01-01,"LAVERTON",160
"514",2021-02-01,"LAVERTON",160
"515",2021-03-01,"LAVERTON",160
"516",2020-05-01,"MANDURAH",172.908212560386
"517",2020-06-01,"MANDURAH",174.33729216152
"518",2020-10-01,"MANDURAH",189.344827586207
"519",2020-11-01,"MANDURAH",192.005586592179
"520",2020-12-01,"MANDURAH",197.209373134328
"521",2021-01-01,"MANDURAH",198.199421965318
"522",2021-02-01,"MANDURAH",192.355742296919
"523",2021-03-01,"MANDURAH",192.781869688385
"524",2021-04-01,"MANDURAH",206.2
"525",2020-05-01,"MANJIMUP",177.252100840336
"526",2020-06-01,"MANJIMUP",177.275
"527",2020-10-01,"MANJIMUP",178.535714285714
"528",2020-11-01,"MANJIMUP",180.982300884956
"529",2020-12-01,"MANJIMUP",187.09649122807
"530",2021-01-01,"MANJIMUP",184.112068965517
"531",2021-02-01,"MANJIMUP",183.205128205128
"532",2021-03-01,"MANJIMUP",180.8125
"533",2021-04-01,"MANJIMUP",120
"534",2020-05-01,"MEEKATHARRA",70.7142857142857
"535",2020-06-01,"MEEKATHARRA",70.2857142857143
"536",2020-05-01,"MELVILLE",113.024221453287
"537",2020-06-01,"MELVILLE",112.339160839161
"538",2020-10-01,"MELVILLE",116.923076923077
"539",2020-11-01,"MELVILLE",119.295336787565
"540",2020-12-01,"MELVILLE",131.757731958763
"541",2021-01-01,"MELVILLE",125.314432989691
"542",2021-02-01,"MELVILLE",123.507772020725
"543",2021-03-01,"MELVILLE",119.911602209945
"544",2021-04-01,"MELVILLE",154.857142857143
"545",2020-06-01,"MENZIES",199
"546",2020-12-01,"MENZIES",199
"547",2021-01-01,"MENZIES",199
"548",2021-02-01,"MENZIES",199
"549",2021-03-01,"MENZIES",199
"550",2020-05-01,"MERREDIN",118.363636363636
"551",2020-06-01,"MERREDIN",116.772727272727
"552",2020-05-01,"MOORA",74.1428571428571
"553",2020-06-01,"MOORA",74
"554",2020-10-01,"MOORA",43.75
"555",2020-11-01,"MOORA",43.75
"556",2020-12-01,"MOORA",60.8333333333333
"557",2021-01-01,"MOORA",61.6666666666667
"558",2021-02-01,"MOORA",61.6666666666667
"559",2021-03-01,"MOORA",61.6666666666667
